Movie,Review
Star Wars,"Finally after all these years, the end is here.
I'm reminded of the last lines in T.S. Elliots poem: ""It ended not with a bang, but a whimper."""
Batman,"When fate prevents him from avenging the deaths of his parents, young Bruce Wayne flees to Asia where he seeks counsel from a dangerous ninja cult leader known as Ra's al Ghul."
Harry Potter,"It's quite nostalgic to revisit the magical world of Harry Potter after so many years, yet surprising to discover that it still has a charming quality about itself. The first in the 8-part film series, Harry Potter & the Philosopher's Stone (also known as Harry Potter & the Sorcerer's Stone) may not have the darkness or complexity of its later instalments but what it manages to retain is the freshness, innocence & excitement one feels when embarking on a new adventure."
Harry Potter,"Well acted, well directed, and full of Whimsy. Harry Potter and the Sorcerers Stone proves to be an entertaining and magical spectacle that made stars out of Daniel Radcliffe, Emma Watson, and Rupert Grint."
Batman,"I don't worry and obsess too much about 'superhero' flicks. I just expect them to suck and take what enjoyment I can from them. So the relatively high quality and watch-ability of ""Spider-Man"" and ""X-Men"" was a great surprise to me, since I had fully expected them both to be lame, camp, and stupid. But instead, both flicks were well made films with warmth, dignity and humor, as well as being pleasant tributes to the memories of decades of entertaining stories and the comic book creators who made them."
Star Wars,"I LOVE Star Wars films and couldn't see this film fast enough. All I can say is what was that all about? It was quite boring. Did anyone even edit this film? Rey's character was not likable. The only person tolerable was Chewie. Leia died of shame. Nothing happened anyone cared about. The dialogue was not clever. The film never went anywhere at all. It was just endless scenes of magical occurrences. People galloping on horses (read that again). Magic over kill. By the time the ending happened I didn't care anymore. I wanted to LOVE this movie, but I haven't been this bored in a long long time. I wish i felt differently."
Harry Potter,"First episode also known as ¨Harry Potter and the philosopher's stone¨ deal with Harry Potter (Daniel Radcliffe)and friends fighting dark forces in an amazing adventure . In this early installment of JK Rowling saga, our protagonist is freed by Rubeus from the custody of his selfish uncle (Richard Griffiths) and miserable aunt (Fiona Lewis). Harry goes his destiny at Hogwart's school , there meets our friends Ron(Rupert Grint) ,Hermione(Emma Watson) and his enemies Braco Malfoy(Tom Felton), along the dark forces which threatens Hogwart, and finally Lord Voldemor . Besides the professors as Minerva(Maggie Smith), Severus Snape(Alan Rickman), Dumbledore ( Richard Harris), Madame Hooch (Zoe Wanamaker), Quirinus (Ian Hart)and of course Rubeus(Robbie Coltrane). Here some legendary events take place , including a Quiddich match, and Harry Potter competes in confronting in series of dangerous happenings , challenging monsters as unicorn, centaur and horrible creatures and an ending spooky climatic battle ."
Batman,"It's not a secret: Nolan kicks Shumacher ass and shows him how to make and direct a Batman movie. The reinvented franchise of the best dark superhero of Gotham is simply AMAZING. I enjoy it from the beginning to the end... all cast fits exactly in the characters. The only ""BUT"" is for Cillian Murphy as Crane. He looks such a baby face, he is too young for play Scarecrow... He's only saved by the mask and the cgi effects for his toxin. By the way, everybody's expecting the new Joker... Replacing Jack Nicholson is a hard challenge. I'd like to see someone younger. How about Johnny Knoxville? Think about it, Mr. Nolan and Mr. Goyer."
Star Wars,"This and the entire sequel trilogy is nothing more than a billion dollar corporate money grab. It has just as much claim to being serious as the Star Wars Holiday Special does. Heck, the Holiday Special had all the original actors!
These people? So bad they are not even aware of their own ignorance."
Star Wars,"Don't watch this. Its like a transformers movie, just exsisting to sell toys."
Harry Potter,"I have, in all my life as a lover of both literature and the cinema, hardly ever come upon a piece of work more unimaginative, more ugly, more uninteresting, more lacking in suspense, more lacking in charm, more greedy, more incoherent... Okay, okay. I'll stop with the superlative negatives. Surely there have been worse, and, yes, off the top of my head, I can think of many that are worse. However, for a book that over 125 million people have read, and for a movie that cemented the record for the biggest opening weekend in history, and also for a book that has had not only kids but critics singing its praises, and also for a movie which one particularly fat-headed critic called the Wizard of Oz of its generation, I am more than severely disappointed. I know that, had it not been so overhyped, it would have been just as bad. Now, however, my anger for it is completely hardened and it's going to be a passionate battle for me for years to come."
Star Wars,"As someone who has loved star wars ever since I was 6 , this is genuinely disappointing. This whole trilogy is an insult to George Lucas."
Batman,"This movie was sooo BAD for many reasons. I just got back. My friend Jake said it was the best superhero movie of all time. I beg to DIFFER? 1: The fight scenes SUCK. They all cut way too fast, and too much to know what's going on."
Batman,"Forget all that colorful, candy coated, over-the-top, comic book style trash that poisoned the last two Batman movies. Joel Schumacher should be embarrassed for creating Batman Forever and Batman & Robin which became the ultimate low for the character since his creation in 1939. This new film thankfully has nothing in common with those embarrassments. Batman Begins is a prequel to everything we have seen before. It takes us back to young Bruce Wayne as a boy. The film has a very dark, gritty feel to it. In fact, I found it hearkening back to Tim Burton's unique style found in the original Batman movie with The Joker and Batman Returns with The Penguin and Catwoman. If you liked those then you will love this new one. I think it is even better."
Star Wars,"As some may have noticed, the Death Star turned to dust when it was blown up in ROTJ, which made it unbearable to watch and to buy in to the narrative since a huge chuck of the death star appeared in this movie - with literally no explanation on how and why Palpatine is suddenly alive."
Star Wars,"When did Star Wars become Micheal Bay's Transformers? I know it's pretty much impossible to consistently follow-up the train wreck of The Last Jedi, but is this really the best they could come up with?"
Harry Potter,When I bought it on DVD I thought this may be also for adults. I´m now 33 years old and i have to admit that this film is no (more) adapted for me and I would recommend it only for children. Okay the special effects were good but the story was too long and some times too boring. Perhaps the book is more interesting to read because you can imagine in an other dimension. I think the film is too overrated and I give only 5/10.
